16:33:23:328 [ALWAYS]	GUDE Logging Started
16:33:23:333 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:33:23:333 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:33:23:333 [ERROR]	Initialize resume cache pointer failure
16:33:23:334 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
16:33:23:334 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
16:33:28:012 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
16:33:28:012 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:33:28:012 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:33:28:012 [ERROR]	Initialize resume cache pointer failure
16:33:28:012 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
16:33:28:012 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
